DEBUG 2024-09-26 22:42:23,788 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1707925377.5446036
DEBUG 2024-09-26 22:42:23,789 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\unittest\main.py first seen with mtime 1666616648.0
DEBUG 2024-09-26 22:42:23,789 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\asyncio\trsock.py first seen with mtime 1666616648.0
DEBUG 2024-09-26 22:42:23,790 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\http\request.py first seen with mtime 1707925384.9200313
DEBUG 2024-09-26 22:42:23,790 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\urllib3\util\ssl_.py first seen with mtime 1709718490.8984241
DEBUG 2024-09-26 22:42:23,791 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1707925384.2159767
DEBUG 2024-09-26 22:42:23,804 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\nturl2path.py first seen with mtime 1666616648.0
DEBUG 2024-09-26 22:42:23,806 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygments\util.py first seen with mtime 1720946433.8720605
DEBUG 2024-09-26 22:42:23,817 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\xml\dom\NodeFilter.py first seen with mtime 1666616650.0
DEBUG 2024-09-26 22:42:23,821 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1707925383.9597044
DEBUG 2024-09-26 22:42:23,821 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\charset_normalizer\version.py first seen with mtime 1709718492.2434087
DEBUG 2024-09-26 22:42:23,822 autoreload File C:\Users\ADMIN\OneDrive\Desktop\projects\Assignment\IMS\items\__init__.py first seen with mtime 1727367108.455507
DEBUG 2024-09-26 22:42:23,822 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\textwrap.py first seen with mtime 1666616648.0
DEBUG 2024-09-26 22:42:23,823 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\email\_header_value_parser.py first seen with mtime 1666616648.0
DEBUG 2024-09-26 22:42:23,833 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\uuid.py first seen with mtime 1666616648.0
DEBUG 2024-09-26 22:42:23,834 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\http\cookie.py first seen with mtime 1707925384.9149666
DEBUG 2024-09-26 22:42:23,835 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1707925383.8793912
